"Source","Target","Weights"
"line_1","line_10",0.361792982660155
"line_1","line_11",-0.152029992138767
"line_1","line_12",0.679848321009344
"line_1","line_13",-0.0118976859642171
"line_1","line_14",0.212611029733679
"line_1","line_15",0.0808375600468662
"line_1","line_16",0.255989080446488
"line_1","line_17",0.155962127765442
"line_1","line_18",0.223388694112462
"line_1","line_19",0.0798621335790752
"line_1","line_2",0.114192443366423
"line_1","line_20",0.0655349391277306
"line_1","line_21",0.116706148830467
"line_1","line_22",0.568533554151594
"line_1","line_23",0.241043738303374
"line_1","line_24",0.16935424191324
"line_1","line_25",0.229246354636374
"line_1","line_26",0.224565470619752
"line_1","line_27",0.0305371663262779
"line_1","line_28",0.0705726636187847
"line_1","line_29",0.0267692355132365
"line_1","line_3",0.270206804020643
"line_1","line_30",0.361489030535102
"line_1","line_31",0.141459073469758
"line_1","line_32",0.0326875592406343
"line_1","line_33",0.212369706326553
"line_1","line_34",0.219161909471389
"line_1","line_35",0.0956132943476232
"line_1","line_36",-0.0704613424719198
"line_1","line_37",0.317658171226384
"line_1","line_4",0.740398354700268
"line_1","line_5",0.761126982027245
"line_1","line_6",0.742679967210699
"line_1","line_7",0.104979643384187
"line_1","line_8",0.303572698801819
"line_1","line_9",0.2627371001274
"line_10","line_11",-0.125019922530939
"line_10","line_12",0.289218525091486
"line_10","line_13",-0.030154065378668
"line_10","line_14",0.0890302066880462
"line_10","line_15",0.0760317556119314
"line_10","line_16",0.292038799780485
"line_10","line_17",0.26973778061268
"line_10","line_18",0.248543029592125
"line_10","line_19",0.0574230279274912
"line_10","line_2",0.0817413713596352
"line_10","line_20",0.0193887146436794
"line_10","line_21",0.292303444536632
"line_10","line_22",0.18770827181888
"line_10","line_23",0.307420725394332
"line_10","line_24",0.202122058735355
"line_10","line_25",0.0989934180791453
"line_10","line_26",0.271693788415357
"line_10","line_27",0.0251988331113657
"line_10","line_28",0.126365773228171
"line_10","line_29",0.0946465838039477
"line_10","line_3",0.171397811667044
"line_10","line_30",0.976472513530173
"line_10","line_31",0.00369478333711992
"line_10","line_32",0.046436175887555
"line_10","line_33",0.244550295576494
"line_10","line_34",0.152860909677196
"line_10","line_35",0.0207273670055114
"line_10","line_36",-0.0368917144401602
"line_10","line_37",0.497776306133062
"line_10","line_4",0.234074331427399
"line_10","line_5",0.305665860472772
"line_10","line_6",0.308226693750402
"line_10","line_7",0.0300920320172933
"line_10","line_8",0.172916138278426
"line_10","line_9",0.123266862994302
"line_11","line_12",-0.071693940869505
"line_11","line_13",-0.0559653699883093
"line_11","line_14",-0.272459872797081
"line_11","line_15",-0.0680511929302089
"line_11","line_16",-0.18039470438241
"line_11","line_17",-0.313869085914611
"line_11","line_18",-0.151417793947821
"line_11","line_19",-0.0623310409857145
"line_11","line_2",-0.134349217368398
"line_11","line_20",0.0158753509507938
"line_11","line_21",-0.109597423512613
"line_11","line_22",-0.131878336062665
"line_11","line_23",-0.258368042027253
"line_11","line_24",-0.332399056484108
"line_11","line_25",-0.0254246778984336
"line_11","line_26",-0.566699450838131
"line_11","line_27",-0.154328425513026
"line_11","line_28",-0.258704756154816
"line_11","line_29",-0.273480954289756
"line_11","line_3",-0.267265016930942
"line_11","line_30",-0.125270098109881
"line_11","line_31",-0.159305082688781
"line_11","line_32",0.00608484681503489
"line_11","line_33",-0.146214367203426
"line_11","line_34",-0.0762093804608238
"line_11","line_35",0.0072219775794297
"line_11","line_36",0.0801082685195035
"line_11","line_37",0.000936593956191414
"line_11","line_4",-0.111470505955709
"line_11","line_5",-0.155944911699445
"line_11","line_6",-0.23361562528533
"line_11","line_7",-0.289198957743982
"line_11","line_8",-0.269077028372021
"line_11","line_9",-0.30589061564004
"line_12","line_13",-0.0382415378443648
"line_12","line_14",0.107134926789577
"line_12","line_15",0.0855274127852375
"line_12","line_16",0.232423245071727
"line_12","line_17",0.117290570753995
"line_12","line_18",0.185279889563749
"line_12","line_19",0.0926003985311593
"line_12","line_2",0.011880986487239
"line_12","line_20",0.154384502790672
"line_12","line_21",0.128300789284398
"line_12","line_22",0.66704311005793
"line_12","line_23",0.161350971346679
"line_12","line_24",0.123355525958145
"line_12","line_25",0.14143619479964
"line_12","line_26",0.10845702054959
"line_12","line_27",-0.0505801505831369
