"Source","Target","Weights"
"line_1","line_10",0.513082711367575
"line_1","line_11",-0.239363896642233
"line_1","line_12",0.601782446508231
"line_1","line_13",0.00559123184640273
"line_1","line_14",0.235038956372525
"line_1","line_15",0.109218895916514
"line_1","line_16",0.381219666504735
"line_1","line_17",0.225162678496602
"line_1","line_18",0.367406105546334
"line_1","line_19",0.142374435817182
"line_1","line_2",0.250129336615856
"line_1","line_20",-0.100071786355466
"line_1","line_21",0.194660621925157
"line_1","line_22",0.536474869335337
"line_1","line_23",0.285426430606067
"line_1","line_24",0.223617779625541
"line_1","line_25",0.182044798209179
"line_1","line_26",0.374331616358266
"line_1","line_27",0.098343228830813
"line_1","line_28",0.188197056323505
"line_1","line_29",0.19317417889367
"line_1","line_3",0.327325465707397
"line_1","line_30",0.505422334363844
"line_1","line_31",0.165926381886199
"line_1","line_32",0.0995332160083726
"line_1","line_33",0.204681388998085
"line_1","line_34",0.0857519128685958
"line_1","line_35",-0.064800145645228
"line_1","line_36",-0.12528800560431
"line_1","line_37",0.34424565168345
"line_1","line_4",0.735766216861635
"line_1","line_5",0.804446398347816
"line_1","line_6",0.817146812608006
"line_1","line_7",0.11705003955104
"line_1","line_8",0.309893344408802
"line_1","line_9",0.279569103291779
"line_10","line_11",-0.235943449154882
"line_10","line_12",0.298498055904041
"line_10","line_13",0.0406142615752014
"line_10","line_14",0.24499506440871
"line_10","line_15",0.121985601379567
"line_10","line_16",0.353220573820604
"line_10","line_17",0.36582302878557
"line_10","line_18",0.364139992302602
"line_10","line_19",0.113950174411675
"line_10","line_2",0.320167165651242
"line_10","line_20",-0.113763029150433
"line_10","line_21",0.286104238179398
"line_10","line_22",0.206826478318036
"line_10","line_23",0.304197853216687
"line_10","line_24",0.266506317184108
"line_10","line_25",0.115408975438797
"line_10","line_26",0.319446530933607
"line_10","line_27",0.0268358069405389
"line_10","line_28",0.274884115684935
"line_10","line_29",0.221840775178932
"line_10","line_3",0.349012850065839
"line_10","line_30",0.958140530573427
"line_10","line_31",0.109423267158892
"line_10","line_32",0.0334109561904407
"line_10","line_33",0.229330967207984
"line_10","line_34",0.0827240993332624
"line_10","line_35",-0.0434096755171259
"line_10","line_36",-0.0407010481928489
"line_10","line_37",0.414353096446209
"line_10","line_4",0.328788989568896
"line_10","line_5",0.423324095201187
"line_10","line_6",0.443352365959068
