group_id,society_id,song_id,PopName,phylogeny.glottocode,Priority.ranking.for.review,pairing.glottocode
17887gali1262gali1262,17887,147,NA,gali1262,10,gali1262
17887gali1262gali1262,17887,148,NA,gali1262,10,gali1262
17887gali1262gali1262,17887,149,NA,gali1262,10,gali1262
23288waya1269waya1269,23288,150,NA,waya1269,7,waya1269
23288waya1269waya1269,23288,151,NA,waya1269,7,waya1269
28997pume1238pume1238,28997,152,NA,pume1238,2,pume1238
16875huic1243huic1243,16875,154,NA,huic1243,9,huic1243
16875huic1243huic1243,16875,155,NA,huic1243,9,huic1243
19526laca1243laca1243,19526,156,NA,laca1243,9,laca1243
19526laca1243laca1243,19526,157,NA,laca1243,9,laca1243
23255otom1300otom1300,23255,158,NA,otom1300,10,otom1300
27853tzot1259tzot1259,27853,159,NA,tzot1259,10,tzot1259
23420toho1245toho1245,23420,160,NA,toho1245,7,toho1245
23420toho1245toho1245,23420,161,NA,toho1245,7,toho1245
23420toho1245toho1245,23420,162,NA,toho1245,7,toho1245
23695akim1239akim1239,23695,163,Pima,pima1248,9,akim1239
28986Yaquisyaqu1251yaqu1251,28986,164,Yaquis,yaqu1251,3,yaqu1251
28469west2615west2615,28469,165,NA,west2615,9,west2615
28469west2615west2615,28469,166,NA,west2615,9,west2615
28469west2615west2615,28469,167,NA,west2615,9,west2615
28469west2615west2615,28469,168,NA,west2615,9,west2615
22243nava1243nava1243,22243,169,NA,nava1243,9,nava1243
22243nava1243nava1243,22243,170,NA,nava1243,9,nava1243
26577taos1236taos1236,26577,172,NA,taos1236,10,taos1236
26577taos1236taos1236,26577,173,NA,taos1236,10,taos1236
26577taos1236taos1236,26577,174,NA,taos1236,10,taos1236
29371zuni1245zuni1245,29371,175,NA,zuni1245,6,zuni1245
29371zuni1245zuni1245,29371,176,NA,zuni1245,6,zuni1245
29371zuni1245zuni1245,29371,177,NA,zuni1245,6,zuni1245
14136cree1270cree1270,14136,178,NA,cree1270,6,cree1270
14422unam1242unam1242,14422,179,NA,unam1242,10,unam1242
17282nort2947nort2947,17282,180,NA,nort2947,10,nort2947
17282nort2947nort2947,17282,181,NA,nort2947,10,nort2947
21286mesk1242mesk1242,21286,182,NA,mesk1242,10,mesk1242
13718nucl1723nucl1723,13718,183,Ojibwa,east2542,10,nucl1723
14125plai1258plai1258,14125,184,Cree,wood1236,10,plai1258
16875huic1243huic1243,16875,185,NA,huic1243,9,huic1243
14125plai1258plai1258,14125,186,Cree,wood1236,10,plai1258
15368sali1255sali1255,15368,189,NA,sali1255,10,sali1255
15368sali1255sali1255,15368,190,NA,sali1255,10,sali1255
16600hava1249hava1249,16600,191,NA,hava1249,10,hava1249
25477shos1248shos1248,25477,192,NA,shos1248,10,shos1248
