"song_id","society_id","unusualness_region","regional_mean","society_mean","society_region_diff","nn_distance_km","nearest_phyloneighbour","n_neighbours_250","n_neighbours_500","n_neighbours_1000","u_ea","u_kinship","u_economy","u_housing","GlottoID","FamilyLevGlottocode","Region","Society_latitude"
100,16611,-53.1621011419118,-49.10891039946,-53.9176464392703,-4.80873603981036,3557.87302677537,0.04397198306,0,0,0,-21.6413512102148,-11.402796621974,-7.70732405663909,-2.60372038140051,"hawa1245","aust1307","Oceania",19.63
1005,20813,-50.826539513095,-49.10891039946,-44.5410440240522,4.56786637540772,315.633506948281,0.036312867,0,3,12,-17.273662163406,-11.5230827878485,-8.43326106002202,-1.72825164404661,"tita1241","aust1307","Oceania",-3.11
1006,20813,-57.2951776851967,-49.10891039946,-44.5410440240522,4.56786637540772,315.633506948281,0.036312867,0,3,12,-17.273662163406,-11.5230827878485,-8.43326106002202,-1.72825164404661,"tita1241","aust1307","Oceania",-3.11
1007,20813,-40.4683604630679,-49.10891039946,-44.5410440240522,4.56786637540772,315.633506948281,0.036312867,0,3,12,-17.273662163406,-11.5230827878485,-8.43326106002202,-1.72825164404661,"tita1241","aust1307","Oceania",-3.11
1008,20813,-44.2355589085391,-49.10891039946,-44.5410440240522,4.56786637540772,315.633506948281,0.036312867,0,3,12,-17.273662163406,-11.5230827878485,-8.43326106002202,-1.72825164404661,"tita1241","aust1307","Oceania",-3.11
1009,20813,-41.4827986904482,-49.10891039946,-44.5410440240522,4.56786637540772,315.633506948281,0.036312867,0,3,12,-17.273662163406,-11.5230827878485,-8.43326106002202,-1.72825164404661,"tita1241","aust1307","Oceania",-3.11
1010,20813,-41.4827986904482,-49.10891039946,-44.5410440240522,4.56786637540772,315.633506948281,0.036312867,0,3,12,-17.273662163406,-11.5230827878485,-8.43326106002202,-1.72825164404661,"tita1241","aust1307","Oceania",-3.11
1011,20813,-42.8351914998924,-49.10891039946,-44.5410440240522,4.56786637540772,315.633506948281,0.036312867,0,3,12,-17.273662163406,-11.5230827878485,-8.43326106002202,-1.72825164404661,"tita1241","aust1307","Oceania",-3.11
101,20901,-42.8820705613442,-49.10891039946,-53.5073496061352,-4.39843920667522,1402.0218802557,0.044369059261,0,0,0,-25.9945135640102,-24.5453617066953,-4.03061513814541,-2.60372038140051,"nort2845","aust1307","Oceania",-9.45
1012,20813,-51.4581929396948,-49.10891039946,-44.5410440240522,4.56786637540772,315.633506948281,0.036312867,0,3,12,-17.273662163406,-11.5230827878485,-8.43326106002202,-1.72825164404661,"tita1241","aust1307","Oceania",-3.11
1013,28084,-43.494839007537,-49.10891039946,-44.0159276328669,5.09298276659307,18.9424599132058,0.036312867,2,25,85,-13.1894699726479,-10.5197806789847,-1.51291866553442,-1.03510446348666,"lele1270","aust1307","Oceania",-2.08
1014,28084,-43.7488231261434,-49.10891039946,-44.0159276328669,5.09298276659307,18.9424599132058,0.036312867,2,25,85,-13.1894699726479,-10.5197806789847,-1.51291866553442,-1.03510446348666,"lele1270","aust1307","Oceania",-2.08
1015,28084,-43.5185369842215,-49.10891039946,-44.0159276328669,5.09298276659307,18.9424599132058,0.036312867,2,25,85,-13.1894699726479,-10.5197806789847,-1.51291866553442,-1.03510446348666,"lele1270","aust1307","Oceania",-2.08
1016,28084,-45.4310220366398,-49.10891039946,-44.0159276328669,5.09298276659307,18.9424599132058,0.036312867,2,25,85,-13.1894699726479,-10.5197806789847,-1.51291866553442,-1.03510446348666,"lele1270","aust1307","Oceania",-2.08
1017,28084,-44.7399417309232,-49.10891039946,-44.0159276328669,5.09298276659307,18.9424599132058,0.036312867,2,25,85,-13.1894699726479,-10.5197806789847,-1.51291866553442,-1.03510446348666,"lele1270","aust1307","Oceania",-2.08
1018,20813,-42.8543491439115,-49.10891039946,-44.5410440240522,4.56786637540772,315.633506948281,0.036312867,0,3,12,-17.273662163406,-11.5230827878485,-8.43326106002202,-1.72825164404661,"tita1241","aust1307","Oceania",-3.11
1019,20813,-43.3417014547866,-49.10891039946,-44.5410440240522,4.56786637540772,315.633506948281,0.036312867,0,3,12,-17.273662163406,-11.5230827878485,-8.43326106002202,-1.72825164404661,"tita1241","aust1307","Oceania",-3.11
1020,28084,-43.7130230958859,-49.10891039946,-44.0159276328669,5.09298276659307,18.9424599132058,0.036312867,2,25,85,-13.1894699726479,-10.5197806789847,-1.51291866553442,-1.03510446348666,"lele1270","aust1307","Oceania",-2.08
1021,28084,-38.2582498665305,-49.10891039946,-44.0159276328669,5.09298276659307,18.9424599132058,0.036312867,2,25,85,-13.1894699726479,-10.5197806789847,-1.51291866553442,-1.03510446348666,"lele1270","aust1307","Oceania",-2.08
1022,28084,-39.6724528408154,-49.10891039946,-44.0159276328669,5.09298276659307,18.9424599132058,0.036312867,2,25,85,-13.1894699726479,-10.5197806789847,-1.51291866553442,-1.03510446348666,"lele1270","aust1307","Oceania",-2.08
1023,28084,-39.950692651871,-49.10891039946,-44.0159276328669,5.09298276659307,18.9424599132058,0.036312867,2,25,85,-13.1894699726479,-10.5197806789847,-1.51291866553442,-1.03510446348666,"lele1270","aust1307","Oceania",-2.08
1024,28084,-47.0948271530852,-49.10891039946,-44.0159276328669,5.09298276659307,18.9424599132058,0.036312867,2,25,85,-13.1894699726479,-10.5197806789847,-1.51291866553442,-1.03510446348666,"lele1270","aust1307","Oceania",-2.08
